mi_num,College_name,guidelines
MI-SWA-206,AMITY UNIVERSITY MUMBAI,Approval means whether a student is from your college or not
MI-SRI-129,Arena animation bhopal,Approval means whether a student is from your college or not
MI-CHA-183,"Bajaj Institute of Technology, Wardha",Approval means whether a student is from your college or not
MI-ANK-124,"Bharati Vidyapeeth Deemed to be university, College of Engineering, pune",Approval means whether a student is from your college or not
MI-JYE-101,"Birla Institute of Technology, Mesra, Jaipur Campus",Approval means whether a student is from your college or not
MI-ANH-103,BITS Pilani K.K. Birla Goa Campus,Approval means whether a student is from your college or not
MI-KES-103,"Byramjee Jeejeebhoy Meeical College, Ahmedabad",Approval means whether a student is from your college or not
MI-ANU-312,Central University of Tamil Nadu,Approval means whether a student is from your college or not
MI-RAV-133,Delhi College of Arts and Commerce,Approval means whether a student is from your college or not
MI-ANI-195,Doranda College,Approval means whether a student is from your college or not
MI-DHA-136,GANDHI P.R COLLEGE,Approval means whether a student is from your college or not
MI-NUM-101,"Government Engineering College,Raipur",Approval means whether a student is from your college or not
MI-AVN-102,Graphic Era University,Approval means whether a student is from your college or not
MI-AMI-157,GURU GHASIDAS VISHWAVIDYALAYA,Approval means whether a student is from your college or not
MI-BHA-218,Hindu College,Approval means whether a student is from your college or not
MI-HAR-390,Lalbhai Dalpatbhai College of Engineering,Approval means whether a student is from your college or not
MI-SID-200,"Marathwada Institute of Technology, Aurangabad",Approval means whether a student is from your college or not
MI-RAH-220,MIT WPU faculty of Management,Approval means whether a student is from your college or not
MI-POO-132,NATIONAL INSTITUTE OF FASHION TECHNOLOGY,Approval means whether a student is from your college or not
MI-ANU-304,Pune Institute of Computer Technology,Approval means whether a student is from your college or not
MI-SHU-386,Ram Lal Anand College,Approval means whether a student is from your college or not
MI-ANS-156,RAMJAS COLLEGE,Approval means whether a student is from your college or not
MI-AMA-103,Shri Ramdeobaba College of Engineering and Management,Approval means whether a student is from your college or not
MI-NAD-103,Sri Guru Teg Bahadur Khalsa College,Approval means whether a student is from your college or not
MI-ARY-117,"Sri Venkateswara College, University of Delhi",Approval means whether a student is from your college or not
MI-ANK-187,"St.Mary's Group of Institution, Hyderabad",Approval means whether a student is from your college or not
MI-PRI-226,Tata Institute of Social Sciences,Approval means whether a student is from your college or not
MI-ANU-237,THAPAR INSTITUTE OF ENGINEERING AND TECHNOLOGY,Approval means whether a student is from your college or not
MI-ZEE-101,The Maharaja Sayajirao Gaikwad University Polytechnic,Approval means whether a student is from your college or not
MI-SAM-139,Tolani Maritime Institute,Approval means whether a student is from your college or not
MI-ROH-219,"University College of engineering,Rtu",Approval means whether a student is from your college or not
MI-GAU-174,Vishwakarma Institute of Technology,Approval means whether a student is from your college or not
MI-ANK-111,Zakir Husain Delhi college,Approval means whether a student is from your college or not
MI-PRA-270,Banasthali Vidyapith,Approval means whether a student is from your college or not
MI-ASH-101,College of commerce ips academy,Approval means whether a student is from your college or not
MI-ADE-101,Institute of chemical Technology matunga,Approval means whether a student is from your college or not
MI-AMR-126,Jaipur Engineering College and Research Center,Approval means whether a student is from your college or not
MI-DHR-144,Manipal University Jaipur,Approval means whether a student is from your college or not
